Wall time,Step,Value
1690451674.60009,688,1832.2119140625
1690451680.6639132,1377,1740.8035888671875
1690451686.5659618,2066,1713.783447265625
1690451692.4932902,2755,1697.44677734375
1690451698.7721255,3444,1687.6348876953125
1690451704.5807498,4133,1680.4261474609375
1690451710.3435576,4822,1678.57861328125
1690451716.3063066,5511,1673.40625
1690451722.2837434,6200,1670.2918701171875
1690451728.1356971,6889,1668.2103271484375
1690451733.554469,7578,1666.23779296875
1690451738.9097877,8267,1664.6798095703125
1690451744.2907252,8956,1663.2117919921875
1690451749.5915117,9645,1662.1805419921875
1690451755.3816223,10334,1661.0400390625
1690451760.75861,11023,1660.072998046875
1690451766.1469681,11712,1659.8363037109375
1690451771.563738,12401,1658.4984130859375
1690451776.9032407,13090,1657.72119140625
1690451782.6700218,13779,1656.971923828125
1690451787.986898,14468,1656.227294921875
1690451793.3656926,15157,1655.7076416015625
1690451798.6898823,15846,1655.4056396484375
1690451804.0326703,16535,1654.9158935546875
1690451809.7637274,17224,1654.31640625
1690451815.124214,17913,1653.8736572265625
1690451820.4219685,18602,1653.391845703125
1690451825.7527654,19291,1653.053466796875
1690451831.0567796,19980,1652.7489013671875
1690451836.7410045,20669,1652.350341796875
1690451842.073223,21358,1652.016357421875
1690451847.4356606,22047,1651.745849609375
1690451852.7378652,22736,1651.332275390625
1690451858.0800996,23425,1651.1580810546875
1690451863.7821896,24114,1650.9847412109375
1690451869.1945593,24803,1650.64697265625
1690451874.482116,25492,1650.5272216796875
1690451879.8318887,26181,1650.189697265625
1690451885.2165196,26870,1650.090087890625
1690451890.942268,27559,1649.8267822265625
1690451896.2629666,28248,1649.5936279296875
1690451901.6878757,28937,1649.3634033203125
1690451907.1160135,29626,1649.204833984375
1690451912.4946084,30315,1649.015380859375
1690451918.235952,31004,1648.8966064453125
1690451923.5651495,31693,1648.7572021484375
1690451928.8829463,32382,1648.6558837890625
1690451934.2811372,33071,1648.57666015625
1690451939.6277773,33760,1648.3818359375
1690451945.4586024,34449,1648.1414794921875
1690451950.857708,35138,1648.2447509765625
1690451956.2608945,35827,1648.00927734375
