Wall time,Step,Value
1690391144.5403838,235,1712.16845703125
1690391146.8168144,471,1563.4234619140625
1690391149.1082387,707,1539.665283203125
1690391151.3732073,943,1524.12109375
1690391153.9203825,1179,1511.9461669921875
1690391156.2605612,1415,1502.7086181640625
1690391158.6396844,1651,1495.212646484375
1690391160.992393,1887,1489.2947998046875
1690391163.3464966,2123,1484.22021484375
1690391165.8310645,2359,1480.4556884765625
1690391168.0597343,2595,1477.04150390625
1690391170.279172,2831,1474.0137939453125
1690391172.4561927,3067,1471.5166015625
1690391174.5955975,3303,1469.7821044921875
1690391176.960184,3539,1468.7908935546875
1690391179.154871,3775,1466.69873046875
1690391181.3442812,4011,1464.987060546875
1690391183.5258048,4247,1463.058837890625
1690391185.618626,4483,1461.959716796875
1690391187.893186,4719,1461.030517578125
1690391190.069429,4955,1460.0579833984375
1690391192.1642158,5191,1459.4952392578125
1690391194.264401,5427,1458.529296875
1690391196.3800356,5663,1457.4989013671875
1690391198.7149637,5899,1456.9556884765625
1690391200.8669147,6135,1456.19140625
1690391203.0155725,6371,1455.3326416015625
1690391205.1393692,6607,1454.923583984375
1690391207.2862556,6843,1454.041259765625
1690391209.5600452,7079,1453.7703857421875
1690391211.6625826,7315,1453.1572265625
1690391213.8323646,7551,1452.6259765625
1690391215.8774264,7787,1452.5289306640625
1690391217.8030818,8023,1452.1197509765625
1690391219.9503093,8259,1451.706787109375
1690391221.8975468,8495,1451.1724853515625
1690391223.8536294,8731,1450.822021484375
1690391225.7891583,8967,1450.2760009765625
1690391227.7424037,9203,1449.988525390625
1690391229.8480692,9439,1449.5269775390625
1690391231.77567,9675,1449.41162109375
1690391233.7318015,9911,1449.0965576171875
1690391235.6680489,10147,1448.6575927734375
1690391237.6358278,10383,1448.419189453125
1690391239.7444198,10619,1448.4727783203125
1690391241.7124293,10855,1447.7371826171875
1690391243.677154,11091,1447.646240234375
1690391245.6417754,11327,1447.7490234375
1690391247.6262763,11563,1447.46484375
1690391249.7634232,11799,1447.2491455078125
1690391251.7237716,12035,1447.17724609375
1690391253.6911721,12271,1446.8577880859375
1690391255.6473372,12507,1446.744384765625
1690391257.5957391,12743,1446.4547119140625
1690391259.7228386,12979,1446.226318359375
1690391261.6666403,13215,1446.015625
1690391263.616667,13451,1445.84326171875
1690391265.5657372,13687,1445.686767578125
