Wall time,Step,Value
1690393638.9188063,49,0.0
1690393641.089501,189,0.0
1690393644.3709335,399,1.0
1690393645.2966697,459,2.0
1690393646.9604917,569,2.0
1690393647.4121974,599,2.0
1690393647.561475,609,2.0
1690393648.4668496,669,2.0
1690393648.7265995,686,2.0
1690393649.4153507,729,3.0
1690393650.0496397,769,3.0
1690393651.009185,829,3.0
1690393652.1124432,899,3.0
1690393654.0299656,1019,4.0
1690393656.9374177,1189,5.0
1690393657.253574,1209,5.0
1690393659.7447448,1369,5.0
1690393660.2219799,1399,6.0
1690393660.3754358,1409,6.0
1690393660.6809707,1429,6.0
1690393661.6115394,1489,6.0
1690393662.5411713,1549,6.0
1690393665.5139189,1739,7.0
1690393666.289804,1789,7.0
1690393668.153338,1909,8.0
1690393671.0853481,2099,9.0
1690393671.3953555,2119,9.0
1690393673.998993,2279,9.0
1690393675.0073133,2329,10.0
1690393675.317355,2349,10.0
1690393677.155307,2469,10.0
1690393680.5128198,2689,11.0
1690393681.380195,2747,11.0
1690393683.0623343,2859,12.0
1690393684.5518546,2959,12.0
1690393684.8084292,2976,12.0
1690393685.6108618,3029,13.0
1690393688.805532,3239,14.0
1690393688.9581633,3249,14.0
1690393690.625372,3359,14.0
1690393691.977436,3434,14.0
1690393692.6699395,3479,15.0
1690393692.9759347,3499,15.0
1690393694.3579276,3589,15.0
1690393694.658976,3609,15.0
1690393696.8012795,3749,16.0
1690393696.9532347,3759,16.0
1690393698.46855,3859,16.0
1690393699.401369,3919,17.0
1690393699.7030203,3939,17.0
1690393703.1941695,4169,18.0
1690393704.4109466,4249,18.0
1690393704.8672218,4279,18.0
1690393705.9515464,4350,18.0
1690393706.4119513,4379,19.0
1690393707.0227308,4419,19.0
1690393707.481505,4449,19.0
1690393707.6344302,4459,19.0
1690393707.7854836,4469,19.0
1690393713.18241,4808,20.0
1690393713.9617052,4859,21.0
1690393714.268063,4879,21.0
1690393714.8694856,4919,21.0
1690393715.019379,4929,21.0
1690393716.221673,5009,21.0
1690393718.4289432,5149,22.0
1690393718.5835721,5159,22.0
1690393719.3442333,5209,22.0
1690393719.4957654,5219,22.0
1690393719.8011115,5239,22.0
1690393723.751536,5495,23.0
1690393723.9757416,5509,24.0
1690393724.5881598,5549,24.0
1690393726.894231,5699,24.0
1690393727.196452,5719,24.0
1690393727.4937332,5724,24.0
1690393728.037017,5759,25.0
1690393730.481963,5919,25.0
1690393733.1250863,6089,26.0
1690393733.432154,6109,26.0
1690393735.7500706,6259,27.0
1690393736.2152061,6289,27.0
1690393739.4811401,6499,28.0
1690393742.8861737,6719,29.0
1690393743.8072653,6779,29.0
1690393743.9806106,6789,29.0
1690393745.05763,6859,29.0
1690393745.7433424,6889,30.0
1690393746.8239949,6959,30.0
1690393749.1408286,7109,31.0
1690393749.7486827,7149,31.0
1690393752.3647096,7319,31.0
1690393753.1399899,7369,32.0
1690393754.2063968,7439,32.0
1690393755.2602441,7509,32.0
1690393757.1260035,7629,33.0
1690393757.4329488,7649,33.0
1690393760.9921758,7879,34.0
1690393761.617553,7919,34.0
1690393763.9520597,8059,35.0
1690393764.251887,8079,35.0
1690393770.7263806,8499,37.0
1690393771.5110488,8549,37.0
1690393771.663218,8559,37.0
1690393773.0521626,8649,37.0
1690393774.286088,8729,38.0
1690393775.8899856,8829,38.0
1690393778.2969747,8979,39.0
1690393779.3654606,9049,39.0
1690393779.5179586,9059,39.0
1690393780.4325316,9119,39.0
1690393781.7467797,9189,40.0
1690393782.5387084,9239,40.0
1690393782.698571,9249,40.0
1690393783.972315,9329,40.0
1690393786.216197,9469,41.0
1690393787.4870312,9549,41.0
1690393788.1268399,9589,41.0
1690393788.6157398,9619,42.0
1690393789.5786614,9679,42.0
1690393789.9022412,9699,42.0
1690393792.7468934,9879,43.0
1690393793.054586,9899,43.0
1690393793.5176678,9929,43.0
1690393796.1309497,10099,44.0
1690393797.2190928,10169,44.0
1690393798.892891,10279,44.0
1690393799.0468326,10289,44.0
1690393799.1985736,10299,44.0
1690393801.5687127,10439,45.0
1690393802.7998261,10519,45.0
1690393804.0908678,10599,46.0
1690393805.001201,10659,46.0
1690393807.4279802,10819,47.0
1690393808.3425596,10879,47.0
1690393808.4935868,10889,47.0
1690393808.6601417,10899,47.0
1690393809.114837,10929,47.0
1690393810.018044,10989,47.0
1690393812.3102396,11139,48.0
1690393812.7609842,11169,48.0
1690393813.684354,11229,49.0
1690393816.454511,11409,49.0
1690393818.665843,11539,50.0
1690393820.0334692,11629,50.0
1690393820.9556112,11689,51.0
1690393822.191171,11769,51.0
1690393822.7947876,11809,51.0
1690393823.3988287,11849,51.0
1690393823.7034285,11869,51.0
1690393823.854833,11879,51.0
1690393824.2866874,11907,51.0
1690393825.2334661,11969,52.0
1690393825.538724,11989,52.0
1690393825.8445559,12009,52.0
1690393828.4400167,12179,53.0
1690393830.990162,12349,53.0
1690393833.407468,12509,54.0
1690393836.939011,12729,55.0
1690393837.2364964,12749,55.0
1690393838.282618,12819,55.0
1690393839.6436434,12909,56.0
1690393839.9455616,12929,56.0
1690393840.0941389,12939,56.0
1690393841.160319,13009,56.0
1690393843.2818475,13149,57.0
1690393845.5439901,13299,58.0
1690393847.9626024,13459,58.0
1690393848.2603247,13479,58.0
1690393848.7287798,13510,58.0
1690393850.3651395,13619,59.0
1690393850.6614742,13639,59.0
1690393853.133997,13789,60.0
1690393853.2835083,13799,60.0
1690393854.3488793,13869,60.0
1690393855.3994424,13939,60.0
1690393856.1627886,13989,61.0
1690393859.6304429,14219,62.0
1690393861.1835806,14319,62.0
1690393861.9432724,14369,62.0
1690393863.4664018,14469,63.0
1690393865.1572278,14579,63.0
1690393867.7820103,14749,64.0
1690393870.0827334,14884,64.0
1690393870.9352624,14939,65.0
1690393873.6892047,15119,66.0
1690393874.7719398,15189,66.0
1690393876.9188426,15329,66.0
1690393882.364294,15679,68.0
1690393882.5173414,15689,68.0
1690393883.4464018,15749,68.0
1690393884.065869,15789,68.0
1690393885.6279368,15889,69.0
1690393885.780805,15899,69.0
1690393886.4014828,15939,69.0
1690393886.5560648,15949,69.0
1690393888.184312,16039,70.0
1690393888.9514203,16089,70.0
1690393889.2613215,16109,70.0
1690393891.2429838,16239,70.0
1690393892.4759142,16319,71.0
1690393895.097058,16489,72.0
1690393895.5568743,16519,72.0
1690393896.9281487,16609,72.0
1690393898.7785852,16729,73.0
1690393899.6938226,16789,73.0
1690393904.6058528,17109,74.0
1690393907.2723582,17269,75.0
1690393908.7889488,17369,75.0
1690393909.092796,17389,75.0
1690393911.9897301,17579,76.0
1690393912.2933898,17599,76.0
1690393913.0697947,17649,77.0
1690393913.6935112,17689,77.0
1690393913.8470573,17699,77.0
1690393914.9190502,17769,77.0
1690393918.0097642,17969,78.0
1690393918.4680707,17999,78.0
1690393919.6904993,18079,78.0
1690393922.6339934,18269,79.0
1690393923.7811754,18329,80.0
1690393926.6917934,18519,80.0
1690393929.0372167,18669,81.0
1690393931.5107827,18829,82.0
1690393933.8221228,18979,82.0
1690393934.1268036,18999,82.0
1690393940.474751,19409,84.0
1690393941.9325106,19489,85.0
1690393942.8600333,19549,85.0
1690393943.325647,19579,85.0
1690393944.8644907,19679,85.0
1690393948.1483164,19889,86.0
1690393948.7694082,19929,87.0
1690393950.579653,20049,87.0
1690393951.1779656,20089,87.0
1690393951.775321,20129,87.0
1690393952.3834445,20169,88.0
1690393952.5348446,20179,88.0
1690393954.067802,20279,88.0
1690393954.5163784,20309,88.0
1690393955.4194674,20369,88.0
1690393956.1859446,20419,89.0
1690393956.3346062,20429,89.0
1690393960.036369,20659,90.0
1690393966.126467,21059,91.0
1690393966.590737,21089,92.0
1690393969.4434135,21279,92.0
1690393975.0297465,21649,94.0
1690393980.2955067,21983,95.0
1690393981.307038,22049,96.0
1690393982.6747873,22139,96.0
1690393985.4298246,22319,97.0
1690393986.7911592,22409,97.0
1690393987.0945208,22429,97.0
1690393987.243999,22439,97.0
1690393987.706814,22469,98.0
1690393990.2869205,22639,98.0
1690393992.6286345,22789,99.0
1690393993.4071069,22839,99.0
1690393994.0217423,22879,99.0
1690393994.5604517,22899,99.0
1690393995.1829898,22939,100.0
1690393997.3393044,23079,100.0
1690393999.2013814,23199,101.0
1690393999.6644435,23229,101.0
1690394000.8965175,23309,101.0
1690394001.361613,23339,101.0
1690394001.6816218,23359,102.0
1690394002.7717156,23429,102.0
1690394003.8504739,23499,102.0
1690394004.3151667,23529,102.0
1690394005.2628958,23589,103.0
1690394006.1719916,23649,103.0
1690394008.29342,23789,103.0
1690394009.209335,23849,104.0
1690394009.5102062,23869,104.0
1690394009.9677472,23899,104.0
1690394010.288221,23919,104.0
1690394014.0240862,24149,105.0
1690394015.3804042,24239,105.0
1690394015.5315855,24249,105.0
1690394015.9970663,24279,106.0
1690394017.2123597,24359,106.0
1690394017.8090649,24399,106.0
1690394019.771038,24529,107.0
1690394020.5262303,24579,107.0
1690394020.8235917,24599,107.0
1690394021.1287897,24619,107.0
1690394022.3259034,24699,107.0
1690394025.3507004,24899,108.0
1690394026.875495,24999,109.0
1690394029.3405993,25159,109.0
1690394030.0129342,25189,109.0
1690394033.5005002,25419,111.0
1690394036.8439262,25639,111.0
1690394037.458604,25679,112.0
1690394038.5180807,25749,112.0
1690394038.6683772,25759,112.0
1690394039.2772183,25799,112.0
1690394039.4268923,25809,112.0
1690394043.4029891,26069,113.0
1690394045.5229166,26209,114.0
1690394046.8754673,26299,114.0
1690394049.5100877,26459,115.0
1690394050.1166348,26499,115.0
1690394050.7157032,26539,115.0
1690394051.554152,26589,116.0
1690394053.4003596,26709,116.0
1690394055.5267766,26849,117.0
1690394057.3328314,26969,117.0
1690394059.172297,27089,118.0
1690394059.3218882,27099,118.0
1690394060.0681536,27149,118.0
1690394062.3237295,27299,119.0
1690394065.404138,27489,120.0
1690394065.555928,27499,120.0
1690394068.291102,27679,120.0
1690394070.0183318,27789,121.0
1690394070.1702096,27799,121.0
1690394071.996446,27919,121.0
1690394072.7588205,27969,122.0
1690394073.5190456,28019,122.0
1690394076.1438937,28179,123.0
1690394078.2748382,28309,123.0
1690394078.428394,28319,123.0
1690394081.446152,28509,124.0
1690394083.0054448,28609,124.0
1690394083.6952994,28639,125.0
1690394084.1567483,28669,125.0
1690394086.3148794,28809,125.0
1690394088.635557,28959,126.0
1690394090.8175771,29099,127.0
1690394093.7491221,29289,127.0
1690394093.9044652,29299,127.0
1690394094.9918282,29369,128.0
1690394095.1476543,29379,128.0
1690394095.763371,29419,128.0
1690394096.0725627,29439,128.0
1690394097.0090952,29499,128.0
1690394098.8686152,29619,129.0
1690394100.2603498,29709,129.0
1690394107.0311358,30129,131.0
1690394108.888736,30249,132.0
1690394110.126468,30329,132.0
1690394110.5873053,30359,132.0
1690394111.509699,30419,132.0
1690394111.9651701,30449,132.0
1690394112.137717,30459,133.0
1690394116.2969797,30729,134.0
1690394119.7586071,30939,135.0
1690394120.6873403,30999,135.0
1690394122.52772,31119,135.0
1690394123.4663277,31179,136.0
1690394123.9294088,31209,136.0
1690394124.5466154,31249,136.0
1690394126.0895803,31349,136.0
1690394133.24261,31819,138.0
1690394134.0083861,31869,139.0
1690394138.641615,32159,140.0
1690394139.8521764,32239,140.0
1690394140.5912488,32288,140.0
1690394141.068691,32319,141.0
1690394141.976109,32379,141.0
1690394142.2759058,32399,141.0
1690394142.4329405,32409,141.0
1690394143.499117,32479,141.0
1690394143.950006,32509,141.0
1690394144.561217,32549,142.0
1690394145.013873,32579,142.0
1690394145.4698908,32609,142.0
1690394146.0706193,32649,142.0
1690394147.5339952,32746,142.0
1690394148.0403643,32779,143.0
1690394148.3398526,32799,143.0
1690394149.2376475,32859,143.0
1690394154.655997,33204,144.0
1690394154.7379425,33209,145.0
1690394156.0991404,33299,145.0
1690394157.3015943,33379,145.0
1690394160.2732444,33569,146.0
1690394161.0285463,33619,146.0
1690394161.3307016,33639,146.0
1690394161.9517555,33679,147.0
1690394162.5558755,33719,147.0
1690394163.4847689,33779,147.0
1690394163.6375868,33789,147.0
1690394163.9429665,33809,147.0
1690394165.9317803,33939,148.0
1690394166.2429163,33959,148.0
1690394167.6063192,34049,148.0
1690394168.2111588,34089,148.0
1690394168.5168645,34109,148.0
1690394168.988232,34139,149.0
1690394174.308364,34469,150.0
1690394174.6121373,34489,150.0
1690394176.5947347,34619,151.0
1690394178.4096243,34739,151.0
1690394178.704165,34759,151.0
1690394180.0639198,34849,152.0
1690394181.559162,34949,152.0
1690394184.4280565,35139,153.0
1690394185.3968446,35199,153.0
1690394187.8436923,35359,154.0
1690394191.6887915,35599,155.0
1690394193.531037,35719,155.0
1690394193.841178,35739,156.0
1690394193.9928792,35749,156.0
1690394194.437978,35779,156.0
1690394196.0865946,35889,156.0
1690394197.1433175,35959,157.0
1690394198.041707,36019,157.0
1690394198.7901285,36069,157.0
1690394199.982684,36149,157.0
1690394202.2437577,36299,158.0
1690394202.3912058,36309,158.0
1690394203.587804,36389,158.0
1690394203.7373526,36399,158.0
1690394208.7526221,36719,160.0
1690394211.7522445,36919,161.0
1690394217.1044989,37269,162.0
1690394217.588437,37299,162.0
1690394218.0772607,37329,163.0
1690394219.053999,37389,163.0
1690394220.9640822,37509,163.0
1690394221.4418664,37539,163.0
1690394225.4146485,37784,164.0
1690394227.1353962,37899,165.0
1690394227.2854977,37909,165.0
1690394228.180242,37969,165.0
1690394228.3276298,37979,165.0
1690394228.8330054,38013,165.0
1690394235.9207606,38469,167.0
1690394236.5405712,38509,168.0
1690394237.7476919,38589,168.0
1690394238.7889419,38659,168.0
1690394240.0143156,38739,169.0
1690394243.7260296,38969,170.0
1690394245.0924275,39059,170.0
1690394246.293101,39139,170.0
1690394247.0570202,39189,171.0
1690394247.9745226,39249,171.0
1690394250.2345054,39399,172.0
1690394252.1948316,39529,172.0
1690394253.549493,39619,173.0
1690394256.7009695,39829,173.0
1690394256.8495069,39839,173.0
1690394257.1575913,39859,174.0
1690394260.9434679,40099,175.0
1690394261.0940926,40109,175.0
1690394261.8383086,40159,175.0
1690394262.2952077,40189,175.0
1690394262.7430239,40219,175.0
1690394264.097116,40309,176.0
1690394264.2470925,40319,176.0
1690394265.140295,40379,176.0
1690394267.0744061,40509,176.0
1690394267.3719316,40529,176.0
1690394268.12608,40579,177.0
1690394269.8055916,40689,177.0
1690394271.632146,40809,178.0
1690394275.1167533,41039,179.0
1690394279.4603689,41309,180.0
1690394281.4370253,41439,180.0
1690394282.3592603,41499,181.0
1690394283.283066,41559,181.0
1690394284.943867,41669,181.0
1690394285.6199915,41709,182.0
1690394286.0831933,41739,182.0
1690394286.4151533,41759,182.0
1690394288.327383,41879,182.0
1690394288.633444,41899,182.0
1690394291.2837532,42069,183.0
1690394291.4373806,42079,183.0
1690394292.510743,42149,184.0
1690394292.8072581,42169,184.0
1690394294.4520664,42279,184.0
1690394297.2014067,42449,185.0
1690394299.927153,42629,186.0
1690394303.2176616,42839,187.0
1690394306.8421288,43079,188.0
1690394306.995321,43089,188.0
1690394307.6040258,43129,188.0
1690394308.6670663,43199,188.0
1690394309.740461,43269,188.0
1690394310.5122936,43319,189.0
1690394310.817273,43339,189.0
1690394314.8633797,43569,190.0
1690394315.1741138,43589,190.0
1690394316.3906364,43669,190.0
1690394317.7764559,43759,191.0
1690394320.224334,43919,191.0
1690394320.376324,43929,191.0
1690394320.8290598,43959,191.0
1690394320.998925,43969,192.0
1690394322.2281773,44049,192.0
1690394322.8394253,44089,192.0
1690394324.2205033,44179,192.0
1690394325.4494872,44259,193.0
1690394326.2090447,44309,193.0
1690394326.9677472,44359,193.0
1690394327.5803955,44399,193.0
1690394327.7308927,44409,193.0
1690394327.885109,44419,193.0
1690394328.0456483,44429,194.0
1690394328.976502,44489,194.0
1690394331.7291632,44654,194.0
1690394334.7358305,44849,195.0
1690394336.127436,44939,196.0
1690394337.3718982,45019,196.0
1690394338.796116,45112,196.0
1690394339.6735845,45169,197.0
1690394343.5246909,45419,198.0
1690394344.4648008,45479,198.0
