Wall time,Step,Value
1690458710.5809817,159,0.0
1690458714.2658293,409,0.0
1690458717.3439507,619,0.0
1690458718.081027,669,0.0
1690458720.002996,799,1.0
1690458721.3105016,889,1.0
1690458722.7681363,989,1.0
1690458726.71088,1259,1.0
1690458731.4473615,1579,2.0
1690458735.8766844,1879,2.0
1690458737.5136006,1989,2.0
1690458740.5196414,2189,3.0
1690458747.646921,2669,3.0
1690458754.2808974,3119,4.0
1690458759.9395561,3469,5.0
1690458761.688614,3589,5.0
1690458763.4507546,3709,5.0
1690458766.9699574,3949,5.0
1690458772.735473,4339,6.0
1690458773.320042,4379,6.0
1690458775.0804243,4499,6.0
1690458777.5667994,4669,6.0
1690458778.2950726,4719,6.0
1690458785.9452558,5239,7.0
1690458786.8390384,5299,7.0
1690458789.0574236,5449,7.0
1690458791.145292,5589,8.0
1690458798.9722283,6119,8.0
1690458799.7186582,6169,8.0
1690458799.8679695,6179,8.0
1690458801.536855,6289,9.0
1690458808.320789,6739,9.0
1690458815.3743644,7169,10.0
1690458817.304415,7299,10.0
1690458823.0089622,7679,11.0
1690458830.0493417,8139,11.0
1690458835.4848475,8499,12.0
1690458844.3706012,9099,13.0
1690458853.8056803,9739,14.0
1690458854.5329103,9789,14.0
1690458855.702036,9869,14.0
1690458855.9930515,9889,14.0
1690458865.1234221,10459,15.0
1690458865.9038227,10509,15.0
1690458867.9005175,10639,15.0
1690458869.37726,10739,15.0
1690458872.6229777,10959,15.0
1690458873.683729,11029,16.0
1690458874.5631058,11089,16.0
1690458875.4649546,11149,16.0
1690458876.2220244,11199,16.0
1690458881.7526379,11569,16.0
1690458887.1655483,11929,17.0
1690458888.3601995,12009,17.0
1690458893.2488492,12339,17.0
1690458896.213104,12539,18.0
1690458898.4660904,12689,18.0
1690458899.5166059,12759,18.0
1690458901.9530926,12919,18.0
1690458909.0988882,13399,19.0
1690458910.2706547,13479,19.0
1690458912.4628568,13629,19.0
1690458923.013165,14279,20.0
1690458925.2315586,14429,20.0
1690458928.857729,14669,21.0
1690458930.5240247,14779,21.0
1690458930.9731517,14809,21.0
1690458933.1138556,14949,21.0
1690458938.9250174,15329,22.0
1690458939.987181,15399,22.0
1690458940.8915055,15459,22.0
1690458953.3831375,16279,23.0
1690458959.771557,16699,24.0
1690458964.200877,16989,24.0
1690458971.000726,17399,25.0
1690458973.7072396,17579,25.0
1690458974.4570727,17629,25.0
1690458981.1131942,18069,26.0
1690458986.8971262,18459,26.0
1690458988.6111376,18569,26.0
1690458988.9291627,18589,26.0
1690458993.785284,18899,27.0
1690458996.2669456,19049,27.0
1690459010.024485,19980,28.0
1690459017.8386889,20529,29.0
1690459019.5949547,20649,29.0
1690459021.9700036,20769,30.0
1690459034.5917144,21659,31.0
1690459035.0026302,21689,31.0
1690459042.538899,22239,32.0
1690459045.5416923,22459,32.0
1690459047.319491,22589,32.0
1690459049.9441018,22779,33.0
1690459051.452249,22889,33.0
1690459057.5471866,23329,33.0
1690459061.039318,23579,34.0
1690459061.176258,23589,34.0
1690459062.0136783,23649,34.0
1690459067.699705,24059,34.0
1690459071.1431758,24269,35.0
1690459076.065863,24629,35.0
1690459087.7391996,25439,36.0
1690459088.038267,25459,36.0
1690459088.4853883,25489,36.0
1690459090.2854633,25609,37.0
1690459092.7183266,25779,37.0
1690459095.6889555,25989,37.0
1690459098.486303,26189,38.0
1690459099.322075,26249,38.0
1690459104.4419923,26619,38.0
1690459105.1395793,26669,38.0
1690459106.694581,26779,38.0
1690459107.392925,26829,38.0
1690459107.5302424,26839,38.0
1690459110.0476918,27019,39.0
1690459126.6567683,28179,40.0
1690459131.731475,28539,41.0
1690459132.2886493,28579,41.0
1690459139.3025813,29089,42.0
1690459141.763049,29269,42.0
1690459147.9406514,29719,43.0
1690459148.8979428,29789,43.0
1690459149.3099303,29819,43.0
1690459154.7932136,30219,43.0
1690459156.5907638,30349,44.0
1690459158.1016643,30459,44.0
1690459161.652365,30719,44.0
1690459166.0956419,31004,44.0
1690459166.9922738,31069,45.0
1690459168.361292,31169,45.0
1690459178.3666408,31899,46.0
1690459179.4922874,31979,46.0
1690459187.9751422,32589,47.0
1690459192.753742,32929,47.0
1690459193.864165,33009,47.0
1690459195.2692747,33109,48.0
1690459202.3766406,33619,48.0
1690459208.580319,34069,49.0
1690459211.5126297,34279,49.0
1690459211.792974,34299,49.0
1690459212.7756903,34369,49.0
1690459213.4745183,34419,49.0
1690459220.3582563,34849,50.0
1690459221.7120664,34939,50.0
1690459225.3291461,35179,51.0
1690459229.1495032,35429,51.0
1690459239.390798,36099,52.0
1690459245.6563165,36519,53.0
1690459245.8083396,36529,53.0
1690459251.2915132,36889,53.0
1690459252.2138221,36949,53.0
1690459255.5206585,37179,53.0
1690459257.1950638,37299,54.0
1690459259.615339,37469,54.0
1690459260.8541007,37559,54.0
1690459261.8143497,37629,54.0
1690459265.389739,37879,54.0
1690459266.664896,37929,55.0
1690459270.8932643,38229,55.0
1690459272.5896335,38349,55.0
1690459276.3565593,38609,56.0
1690459277.7859561,38709,56.0
1690459278.072723,38729,56.0
1690459288.2325191,39439,57.0
1690459288.6867044,39469,57.0
1690459297.9823606,40079,58.0
1690459314.020955,41119,59.0
1690459320.9198287,41529,60.0
1690459329.7877004,42109,61.0
1690459334.1089966,42399,61.0
1690459340.2140186,42809,62.0
1690459348.8732488,43369,62.0
1690459357.8016913,43949,63.0
1690459365.851028,44479,64.0
1690459367.666966,44599,64.0
1690459371.1281798,44789,65.0
1690459372.7987688,44899,65.0
1690459375.5352876,45079,65.0
1690459379.3395188,45339,65.0
1690459382.1222026,45539,66.0
1690459387.5246015,45929,66.0
1690459390.5567436,46149,66.0
1690459390.740038,46162,66.0
1690459391.530848,46219,67.0
1690459396.868919,46609,67.0
1690459397.2809331,46639,67.0
1690459402.6248431,47029,68.0
1690459402.7613974,47039,68.0
1690459404.2711449,47149,68.0
1690459405.0879147,47209,68.0
1690459409.4889815,47529,68.0
1690459409.9097621,47559,69.0
1690459418.2433057,48169,69.0
1690459420.288203,48279,70.0
1690459424.6723495,48599,70.0
1690459431.3465178,49079,71.0
1690459435.8913038,49399,71.0
1690459441.2625682,49769,72.0
1690459442.2390256,49839,72.0
1690459445.3097346,50059,72.0
1690459445.5866969,50079,72.0
1690459452.3759265,50569,73.0
1690459454.2969568,50709,73.0
1690459454.4341471,50719,73.0
1690459457.3447914,50929,73.0
1690459460.5288312,51159,74.0
