Wall time,Step,Value
1690390965.9262657,49,0.0
1690390966.926726,189,0.0
1690390968.4306908,399,1.0
1690390968.8612497,459,2.0
1690390969.6297731,569,2.0
1690390969.839024,599,2.0
1690390969.9099953,609,2.0
1690390970.3299942,669,2.0
1690390970.452369,686,2.0
1690390970.7536926,729,3.0
1690390971.030523,769,3.0
1690390971.4540942,829,3.0
1690390971.946297,899,3.0
1690390972.7947817,1019,4.0
1690390974.1390355,1189,5.0
1690390974.2813683,1209,5.0
1690390975.46477,1369,5.0
1690390975.690803,1399,6.0
1690390975.761985,1409,6.0
1690390975.902802,1429,6.0
1690390976.3240607,1489,6.0
1690390976.755439,1549,6.0
1690390978.1509533,1739,7.0
1690390978.5177355,1789,7.0
1690390979.3778908,1909,8.0
1690390980.7579443,2099,9.0
1690390980.9116075,2119,9.0
1690390982.1545603,2279,9.0
1690390982.658856,2329,10.0
1690390982.8004131,2349,10.0
1690390983.6795304,2469,10.0
1690390985.3155844,2689,11.0
1690390985.7482407,2747,11.0
1690390986.5851572,2859,12.0
1690390987.3050308,2959,12.0
1690390987.4314864,2976,12.0
1690390987.8172126,3029,13.0
1690390989.4925675,3239,14.0
1690390989.5647116,3249,14.0
1690390990.346977,3359,14.0
1690390991.0295837,3434,14.0
1690390991.3639357,3479,15.0
1690390991.5042899,3499,15.0
1690390992.1483574,3589,15.0
1690390992.2913034,3609,15.0
1690390993.3255522,3749,16.0
1690390993.3955266,3759,16.0
1690390994.1190994,3859,16.0
1690390994.559972,3919,17.0
1690390994.7048943,3939,17.0
1690390996.4455333,4169,18.0
1690390997.0480843,4249,18.0
1690390997.263114,4279,18.0
1690390997.7801692,4350,18.0
1690390997.9979134,4379,19.0
1690390998.3150575,4419,19.0
1690390998.5373693,4449,19.0
1690390998.6117218,4459,19.0
1690390998.6959903,4469,19.0
1690391001.1390316,4808,20.0
1690391001.4855351,4859,21.0
1690391001.6188724,4879,21.0
1690391001.9047017,4919,21.0
1690391001.9737697,4929,21.0
1690391002.5766034,5009,21.0
1690391003.676344,5149,22.0
1690391003.7488186,5159,22.0
1690391004.1274729,5209,22.0
1690391004.2041533,5219,22.0
1690391004.356558,5239,22.0
1690391006.3961067,5495,23.0
1690391006.5321264,5509,24.0
1690391006.8661683,5549,24.0
1690391008.0519276,5699,24.0
1690391008.206153,5719,24.0
1690391008.3849308,5724,24.0
1690391008.668019,5759,25.0
1690391009.9887702,5919,25.0
1690391011.3504739,6089,26.0
1690391011.5133228,6109,26.0
1690391012.6927161,6259,27.0
1690391012.9127252,6289,27.0
1690391014.4954684,6499,28.0
1690391016.1852574,6719,29.0
1690391016.6440256,6779,29.0
1690391016.7201495,6789,29.0
1690391017.2446394,6859,29.0
1690391017.60101,6889,30.0
1690391018.1103554,6959,30.0
1690391019.2394736,7109,31.0
1690391019.5347874,7149,31.0
1690391020.8172624,7319,31.0
1690391021.2047,7369,32.0
1690391021.7401497,7439,32.0
1690391022.2769725,7509,32.0
1690391023.2064219,7629,33.0
1690391023.3509352,7649,33.0
1690391025.0900276,7879,34.0
