Wall time,Step,Value
1690451378.8409445,49,0.0
1690451379.8117967,159,0.0
1690451380.8941796,279,1.0
1690451381.934499,399,1.0
1690451382.5632348,471,1.0
1690451383.4655113,569,2.0
1690451384.1497395,649,2.0
1690451384.481832,689,2.0
1690451384.9083443,739,3.0
1690451385.1858602,769,3.0
1690451386.7228796,939,3.0
1690451387.0059633,969,4.0
1690451387.5363655,1029,4.0
1690451389.1242685,1199,5.0
1690451389.382275,1229,5.0
1690451390.8077013,1399,5.0
1690451390.9429824,1415,5.0
1690451391.607764,1489,6.0
1690451391.9485445,1529,6.0
1690451392.0354576,1539,6.0
1690451393.7677028,1739,7.0
1690451394.3788424,1809,7.0
1690451395.3833113,1919,8.0
1690451395.5521407,1939,8.0
1690451397.1671407,2129,9.0
1690451398.6874356,2309,9.0
1690451398.7850294,2319,9.0
1690451400.176049,2459,10.0
1690451400.2620413,2469,10.0
1690451401.214015,2569,10.0
1690451401.4561021,2595,10.0
1690451402.7382443,2739,11.0
1690451403.2050376,2789,11.0
1690451404.7779493,2959,12.0
1690451405.3099275,3019,12.0
1690451405.3983066,3029,12.0
1690451405.4879367,3039,12.0
1690451407.4994745,3259,13.0
1690451408.7301037,3399,14.0
1690451409.2649977,3459,14.0
1690451409.5381157,3489,14.0
1690451410.240202,3549,15.0
1690451411.2301235,3659,15.0
1690451411.7490673,3719,15.0
1690451412.0794322,3759,15.0
1690451412.751221,3839,16.0
1690451413.5229237,3929,16.0
1690451413.8708959,3969,16.0
1690451414.0397792,3989,16.0
1690451414.23883,4011,16.0
1690451416.0299604,4219,17.0
1690451416.6370792,4289,18.0
1690451417.2185879,4359,18.0
1690451417.555289,4399,18.0
1690451417.9136896,4439,18.0
1690451418.310866,4483,18.0
1690451418.542988,4509,19.0
1690451421.253313,4809,20.0
1690451421.5047078,4839,20.0
1690451421.8364623,4879,20.0
1690451421.9215424,4889,20.0
1690451422.846951,4999,21.0
1690451423.3477356,5059,21.0
1690451424.0212586,5139,21.0
1690451424.1044838,5149,21.0
1690451424.6153176,5209,22.0
1690451424.9495032,5249,22.0
1690451427.2776806,5519,23.0
1690451427.7247915,5569,23.0
1690451429.0342805,5719,24.0
1690451429.2035725,5739,24.0
1690451429.7204633,5799,24.0
1690451430.8312774,5909,25.0
1690451431.0768778,5939,25.0
1690451433.2611363,6189,26.0
1690451433.733096,6239,26.0
1690451433.832229,6249,26.0
1690451436.4031281,6529,27.0
1690451437.9951046,6709,28.0
1690451438.4533901,6759,28.0
1690451439.0638306,6829,28.0
1690451439.1854465,6843,28.0
1690451439.9680698,6929,29.0
1690451440.1485417,6949,29.0
1690451440.4193268,6979,29.0
1690451441.1074696,7059,29.0
1690451442.3958352,7189,30.0
1690451442.8333151,7239,30.0
1690451443.9411683,7369,31.0
1690451445.521055,7549,31.0
1690451446.4256022,7649,32.0
1690451448.4099045,7889,33.0
1690451448.4933631,7899,33.0
1690451448.7411222,7929,33.0
1690451450.6576664,8159,34.0
1690451453.1672168,8449,35.0
1690451453.5493052,8495,35.0
1690451455.7853105,8759,37.0
1690451456.8735542,8889,37.0
1690451458.5590026,9089,38.0
1690451458.7302198,9109,38.0
1690451458.9181,9129,38.0
1690451459.618953,9209,39.0
1690451460.2089016,9279,39.0
1690451460.3795862,9299,39.0
1690451461.3531888,9409,39.0
1690451461.4381223,9419,39.0
1690451461.8584712,9449,40.0
1690451462.3151193,9499,40.0
1690451463.3025699,9609,40.0
1690451463.657685,9649,40.0
1690451464.2064521,9709,41.0
1690451464.2947342,9719,41.0
1690451464.8383152,9779,41.0
1690451466.2496026,9929,42.0
1690451467.0668554,10019,42.0
1690451467.4275272,10059,42.0
1690451468.2282805,10149,43.0
1690451469.4442801,10279,43.0
1690451469.994911,10339,43.0
1690451470.271619,10369,43.0
1690451470.4036062,10383,43.0
1690451470.8185349,10429,44.0
1690451472.4484794,10609,44.0
1690451472.7803097,10629,45.0
1690451473.4076169,10699,45.0
1690451474.6906397,10849,45.0
1690451475.03196,10889,46.0
1690451475.3130553,10919,46.0
1690451475.403296,10929,46.0
1690451475.7539876,10969,46.0
1690451476.693414,11069,46.0
1690451477.7850711,11189,47.0
1690451478.4096076,11259,47.0
1690451478.6801333,11289,47.0
1690451479.6742735,11399,48.0
1690451481.0874305,11563,48.0
1690451482.6332998,11739,49.0
1690451482.9154847,11769,49.0
1690451483.350821,11799,49.0
1690451483.9015281,11859,50.0
1690451484.5362163,11919,50.0
1690451485.004547,11969,50.0
1690451485.105218,11979,50.0
1690451485.2019677,11989,50.0
1690451486.8305326,12159,51.0
1690451487.4339976,12219,51.0
1690451491.5686471,12659,53.0
1690451491.7628994,12679,53.0
1690451492.7301927,12779,54.0
1690451493.6264527,12869,54.0
1690451494.9087262,12979,54.0
1690451495.4004273,13029,55.0
1690451498.3112586,13339,56.0
1690451498.9759529,13409,56.0
1690451499.3139458,13439,56.0
1690451500.4851618,13559,57.0
1690451501.4462533,13659,57.0
1690451502.1594682,13729,58.0
1690451502.925806,13809,58.0
1690451503.0157473,13819,58.0
1690451503.28982,13849,58.0
1690451503.3779495,13859,58.0
1690451503.4676661,13869,58.0
1690451504.3772967,13969,59.0
1690451504.4615653,13979,59.0
1690451505.3048263,14069,59.0
1690451506.7106721,14219,60.0
1690451507.2900617,14289,60.0
1690451507.8939536,14359,60.0
1690451510.935101,14709,62.0
1690451511.0198116,14719,62.0
