Wall time,Step,Value
1690392947.8637662,49,0.0
1690392949.0821013,159,0.0
1690392950.4581733,279,1.0
1690392951.8020153,399,1.0
1690392952.6154704,471,1.0
1690392953.726941,569,2.0
1690392954.6403124,649,2.0
1690392955.0875437,689,2.0
1690392955.6538103,739,3.0
1690392955.9903688,769,3.0
1690392957.9202962,939,3.0
1690392958.267325,969,4.0
1690392958.9402437,1029,4.0
1690392961.0642064,1199,5.0
1690392961.398249,1229,5.0
1690392963.266489,1399,5.0
1690392963.4455314,1415,5.0
1690392964.2625308,1489,6.0
1690392964.714838,1529,6.0
1690392964.8254921,1539,6.0
1690392967.0367002,1739,7.0
1690392967.8062901,1809,7.0
1690392969.0164566,1919,8.0
1690392969.2391741,1939,8.0
1690392971.3808756,2129,9.0
1690392973.3827567,2309,9.0
1690392973.4949608,2319,9.0
1690392975.2807956,2459,10.0
1690392975.392466,2469,10.0
1690392976.492938,2569,10.0
1690392976.7868366,2595,10.0
1690392978.4119694,2739,11.0
1690392978.9747195,2789,11.0
1690392980.9234924,2959,12.0
1690392981.5857537,3019,12.0
1690392981.6952019,3029,12.0
1690392981.8047256,3039,12.0
1690392984.3037894,3259,13.0
1690392985.917071,3399,14.0
1690392986.6087153,3459,14.0
1690392986.957247,3489,14.0
1690392987.8712053,3549,15.0
1690392989.1483178,3659,15.0
1690392989.8418083,3719,15.0
1690392990.3083572,3759,15.0
1690392991.2439172,3839,16.0
1690392992.291167,3929,16.0
1690392992.744468,3969,16.0
1690392992.9701073,3989,16.0
1690392993.2223742,4011,16.0
1690392995.6100953,4219,17.0
1690392996.4217436,4289,18.0
1690392997.2298243,4359,18.0
1690392997.6805828,4399,18.0
1690392998.1487553,4439,18.0
1690392998.6495335,4483,18.0
1690392998.9467552,4509,19.0
1690393002.5287392,4809,20.0
1690393002.8809729,4839,20.0
1690393003.321804,4879,20.0
1690393003.4314017,4889,20.0
1690393004.6660545,4999,21.0
1690393005.3485215,5059,21.0
1690393006.2461965,5139,21.0
1690393006.3560076,5149,21.0
1690393007.0407073,5209,22.0
1690393007.4851706,5249,22.0
1690393010.502018,5519,23.0
1690393011.048966,5569,23.0
1690393012.7010276,5719,24.0
1690393012.9230037,5739,24.0
1690393013.592969,5799,24.0
1690393014.993964,5909,25.0
1690393015.3258922,5939,25.0
1690393018.094422,6189,26.0
1690393018.6562657,6239,26.0
1690393018.7666094,6249,26.0
1690393021.8627043,6529,27.0
1690393023.861027,6709,28.0
1690393024.4629416,6759,28.0
1690393025.2557197,6829,28.0
1690393025.415369,6843,28.0
1690393026.3750532,6929,29.0
1690393026.5906007,6949,29.0
1690393026.9411387,6979,29.0
1690393027.8177886,7059,29.0
1690393029.5100925,7189,30.0
1690393030.07907,7239,30.0
1690393031.5508182,7369,31.0
1690393033.572002,7549,31.0
1690393034.7122366,7649,32.0
1690393037.4504113,7889,33.0
1690393037.5650516,7899,33.0
