Wall time,Step,Value
1690450606.7482493,235,1705.1734619140625
1690450608.6363473,471,1535.05615234375
1690450610.5077107,707,1508.92431640625
1690450612.4003942,943,1494.0595703125
1690450614.4419878,1179,1483.0662841796875
1690450616.3099704,1415,1475.0428466796875
1690450618.1707199,1651,1468.376708984375
1690450620.0632632,1887,1463.4022216796875
1690450621.9072878,2123,1459.0350341796875
1690450623.8738348,2359,1455.6904296875
1690450625.73252,2595,1452.5516357421875
1690450627.564182,2831,1450.4766845703125
1690450629.4073808,3067,1448.53515625
1690450631.2687876,3303,1446.554931640625
1690450633.2451568,3539,1444.8594970703125
1690450635.0781145,3775,1443.879150390625
1690450636.9213173,4011,1442.5233154296875
1690450638.7731302,4247,1441.3475341796875
1690450640.6220624,4483,1440.57421875
1690450642.5974526,4719,1439.6864013671875
1690450644.452739,4955,1439.1051025390625
1690450646.3201632,5191,1438.3184814453125
1690450648.1918247,5427,1437.9483642578125
1690450650.07805,5663,1438.2210693359375
1690450652.0902212,5899,1437.0550537109375
1690450653.9530962,6135,1436.47021484375
1690450655.8199494,6371,1436.3079833984375
1690450657.67025,6607,1435.9117431640625
1690450659.5083804,6843,1435.228759765625
1690450661.469767,7079,1435.0172119140625
1690450663.2929442,7315,1434.7791748046875
1690450665.1277223,7551,1434.87939453125
1690450666.9868681,7787,1434.264404296875
1690450668.8454812,8023,1434.140869140625
1690450670.8467817,8259,1433.713623046875
1690450672.6920948,8495,1433.63818359375
1690450674.5352993,8731,1433.5323486328125
1690450676.3970366,8967,1433.519775390625
1690450678.2589953,9203,1433.713623046875
1690450680.2520237,9439,1433.3671875
1690450682.0925941,9675,1432.877685546875
1690450683.944887,9911,1432.7720947265625
1690450685.7945,10147,1432.677490234375
1690450687.6589193,10383,1432.4786376953125
1690450689.6514645,10619,1432.3323974609375
1690450691.5060172,10855,1432.342529296875
1690450693.3528237,11091,1432.0675048828125
1690450695.196885,11327,1432.2093505859375
1690450697.0678766,11563,1431.9932861328125
1690450699.0476925,11799,1431.850341796875
1690450700.8744001,12035,1431.7130126953125
1690450702.698313,12271,1431.5347900390625
1690450704.5298655,12507,1431.564453125
1690450706.3982165,12743,1431.6253662109375
1690450708.4019866,12979,1431.4832763671875
1690450710.2419317,13215,1431.50341796875
1690450712.0851467,13451,1431.5347900390625
1690450713.9399912,13687,1431.4071044921875
1690450715.7998075,13923,1431.4425048828125
1690450717.7900546,14159,1431.3123779296875
1690450719.6583762,14395,1431.1810302734375
1690450721.4975321,14631,1431.2138671875
1690450723.3487406,14867,1431.16357421875
1690450725.1744735,15103,1431.2130126953125
1690450727.1459806,15339,1431.039794921875
1690450728.9974115,15575,1430.8890380859375
1690450730.834283,15811,1430.908203125
1690450732.6653266,16047,1430.8642578125
1690450734.5107877,16283,1430.7542724609375
1690450736.458677,16519,1430.8992919921875
1690450738.261978,16755,1430.7939453125
1690450740.1484532,16991,1430.9481201171875
1690450742.0114288,17227,1430.77392578125
1690450743.9001696,17463,1430.8271484375
1690450745.9297442,17699,1430.862060546875
1690450747.7935011,17935,1430.8555908203125
1690450749.6844187,18171,1430.6741943359375
1690450751.5789874,18407,1430.6268310546875
1690450753.4842198,18643,1430.6124267578125
1690450755.535159,18879,1430.8560791015625
1690450757.4226716,19115,1430.771484375
1690450759.3231053,19351,1430.6234130859375
1690450761.2438774,19587,1430.569091796875
1690450763.1593146,19823,1430.69775390625
1690450765.1850696,20059,1430.5936279296875
1690450767.0190482,20295,1430.8077392578125
1690450768.895485,20531,1430.76708984375
1690450770.7962637,20767,1430.687744140625
1690450772.6700122,21003,1430.7716064453125
1690450774.663609,21239,1430.8623046875
1690450776.50993,21475,1430.702880859375
1690450778.4916506,21711,1430.490478515625
1690450780.4062972,21947,1430.7296142578125
1690450782.252957,22183,1430.6717529296875
1690450784.3077261,22419,1430.7003173828125
1690450786.2378712,22655,1430.9208984375
1690450788.125382,22891,1430.7830810546875
1690450789.9702804,23127,1430.6025390625
1690450791.8397677,23363,1430.86474609375
1690450793.890758,23599,1430.8416748046875
1690450795.8141806,23835,1430.8992919921875
1690450797.76818,24071,1430.790771484375
1690450799.6369426,24307,1430.5948486328125
1690450801.5314817,24543,1430.782470703125
1690450803.5421302,24779,1430.927978515625
1690450805.4732854,25015,1431.013916015625
1690450807.4457636,25251,1430.751708984375
1690450809.4002721,25487,1430.7901611328125
1690450811.3189828,25723,1430.8240966796875
1690450813.329495,25959,1430.9228515625
1690450815.1883364,26195,1430.83056640625
1690450817.0884962,26431,1430.9019775390625
1690450818.9084985,26667,1430.9267578125
1690450820.7380366,26903,1431.0380859375
1690450822.7490928,27139,1431.025146484375
1690450824.6083102,27375,1430.9732666015625
1690450826.4510539,27611,1430.9947509765625
1690450828.2931561,27847,1430.828857421875
1690450830.2091134,28083,1431.014892578125
1690450832.3534882,28319,1430.9779052734375
1690450834.2414906,28555,1430.900390625
1690450836.1992552,28791,1431.1519775390625
1690450838.1212482,29027,1431.139892578125
1690450840.0819008,29263,1431.185791015625
1690450842.1209538,29499,1431.0093994140625
1690450844.0091105,29735,1430.9898681640625
1690450845.929888,29971,1431.0950927734375
1690450847.844243,30207,1431.223388671875
1690450849.775159,30443,1431.0435791015625
1690450851.819419,30679,1431.295654296875
1690450853.7242153,30915,1431.227294921875
1690450855.6374264,31151,1431.2764892578125
1690450857.536453,31387,1431.1463623046875
1690450859.4985754,31623,1431.36083984375
1690450861.5856998,31859,1431.382568359375
1690450863.4452617,32095,1431.4248046875
1690450865.3065164,32331,1431.332763671875
1690450867.1825767,32567,1431.3143310546875
1690450869.0291948,32803,1431.454833984375
1690450871.0133016,33039,1431.399658203125
1690450872.8640985,33275,1431.4075927734375
1690450874.7242496,33511,1431.5194091796875
1690450876.5640376,33747,1431.4796142578125
1690450878.3940396,33983,1431.5677490234375
1690450880.3766403,34219,1431.584716796875
1690450882.2039158,34455,1431.7464599609375
1690450884.1117568,34691,1431.7330322265625
1690450885.976735,34927,1431.6383056640625
1690450887.8766682,35163,1431.502197265625
1690450889.9149823,35399,1431.6229248046875
1690450891.8418932,35635,1431.6175537109375
1690450893.6856453,35871,1431.628173828125
1690450895.5965784,36107,1431.8087158203125
1690450897.446695,36343,1431.804443359375
1690450899.4340746,36579,1431.636962890625
1690450901.3981268,36815,1431.773193359375
1690450903.2567024,37051,1431.78955078125
1690450905.1795914,37287,1431.6988525390625
1690450907.1092684,37523,1431.97265625
1690450909.1324959,37759,1431.820556640625
1690450910.9862475,37995,1431.9075927734375
1690450912.822614,38231,1431.87548828125
1690450914.6785,38467,1432.0438232421875
1690450916.5543911,38703,1432.1461181640625
1690450918.5617812,38939,1431.9005126953125
1690450920.4310617,39175,1431.8890380859375
1690450922.2998903,39411,1432.205322265625
1690450924.1738226,39647,1431.9658203125
1690450926.0267303,39883,1432.16748046875
1690450928.0093842,40119,1432.1939697265625
1690450929.841461,40355,1432.1031494140625
1690450931.672742,40591,1432.1678466796875
1690450933.5292203,40827,1432.2572021484375
1690450935.398763,41063,1432.1806640625
1690450937.400726,41299,1432.33447265625
1690450939.2783873,41535,1432.3533935546875
1690450941.1580331,41771,1432.2352294921875
1690450943.0352986,42007,1432.171875
1690450944.9069092,42243,1432.3011474609375
1690450946.9974124,42479,1432.174560546875
1690450948.9205463,42715,1432.346435546875
1690450950.8304687,42951,1432.317138671875
1690450952.7172673,43187,1432.4639892578125
1690450954.6182756,43423,1432.3311767578125
1690450956.6674674,43659,1432.522216796875
1690450958.5840304,43895,1432.4661865234375
1690450960.5198956,44131,1432.6351318359375
1690450962.4097795,44367,1432.6572265625
1690450964.2765267,44603,1432.5435791015625
1690450966.2943969,44839,1432.57421875
1690450968.1810055,45075,1432.5150146484375
1690450970.0899663,45311,1432.7708740234375
1690450971.998501,45547,1432.6136474609375
1690450973.9089742,45783,1432.8580322265625
1690450975.9797463,46019,1432.843505859375
1690450977.902184,46255,1432.758544921875
1690450979.816465,46491,1432.7431640625
1690450981.7200203,46727,1432.7186279296875
1690450983.6046748,46963,1432.8924560546875
1690450985.6392462,47199,1432.8887939453125
1690450987.5512552,47435,1432.8948974609375
1690450989.4505634,47671,1432.9771728515625
1690450991.428123,47907,1433.0535888671875
1690450993.371093,48143,1432.8929443359375
1690450995.2632377,48379,1432.8021240234375
1690450997.0050392,48615,1432.88232421875
1690450998.7256858,48851,1433.074462890625
1690451000.443906,49087,1433.07861328125
1690451002.1613412,49323,1433.1634521484375
1690451004.0765955,49559,1432.98291015625
1690451005.8077834,49795,1433.1849365234375
1690451007.7129283,50031,1433.3338623046875
1690451009.6060503,50267,1433.1455078125
1690451011.4633832,50503,1433.2977294921875
1690451013.3916273,50739,1433.137451171875
1690451015.2737339,50975,1433.3304443359375
1690451017.1654878,51211,1433.4500732421875
1690451019.1950288,51447,1433.3375244140625
1690451021.3007581,51683,1433.4134521484375
