Wall time,Step,Value
1690456325.0900388,688,1796.891845703125
1690456330.8980632,1377,1697.1114501953125
1690456336.7504344,2066,1673.2154541015625
1690456342.5509694,2755,1660.3031005859375
1690456348.769564,3444,1652.413330078125
1690456354.6839964,4133,1647.7618408203125
1690456360.6091378,4822,1644.1329345703125
1690456366.553861,5511,1642.2344970703125
1690456372.4348397,6200,1640.3734130859375
1690456378.6834583,6889,1639.2835693359375
1690456384.5229092,7578,1638.09423828125
1690456390.266337,8267,1637.656494140625
1690456396.066056,8956,1636.58740234375
1690456401.9122322,9645,1635.9642333984375
1690456408.086792,10334,1635.522216796875
1690456413.9327888,11023,1635.2060546875
1690456419.7693636,11712,1634.8758544921875
1690456425.611674,12401,1634.51416015625
1690456431.5041132,13090,1634.2364501953125
1690456437.8024912,13779,1633.90673828125
1690456443.7085714,14468,1633.7735595703125
1690456449.570608,15157,1633.3968505859375
1690456455.3943152,15846,1633.27978515625
1690456461.2425218,16535,1633.314697265625
1690456467.3905747,17224,1632.945068359375
1690456473.1944869,17913,1632.8673095703125
1690456479.0014045,18602,1632.7457275390625
1690456484.7959757,19291,1632.63623046875
1690456490.6128798,19980,1632.505615234375
1690456496.8276794,20669,1632.32861328125
1690456502.657925,21358,1632.285400390625
1690456508.5182471,22047,1632.2054443359375
1690456514.316405,22736,1632.2154541015625
1690456520.1634533,23425,1632.0521240234375
1690456526.353464,24114,1632.03466796875
1690456532.1806645,24803,1632.012939453125
1690456537.981155,25492,1631.9173583984375
1690456543.7856092,26181,1631.905029296875
1690456549.5862157,26870,1631.9202880859375
1690456555.7953475,27559,1631.83837890625
1690456561.5871968,28248,1631.7364501953125
1690456567.4263675,28937,1631.791259765625
1690456573.2796628,29626,1631.7451171875
1690456579.144216,30315,1631.7939453125
1690456585.4461627,31004,1631.740966796875
1690456591.2896307,31693,1631.6822509765625
1690456597.1894646,32382,1631.7220458984375
1690456603.065889,33071,1631.820556640625
1690456608.96643,33760,1631.661376953125
1690456615.329586,34449,1631.698486328125
1690456621.2861521,35138,1631.7271728515625
1690456627.2324622,35827,1631.7310791015625
1690456633.2032707,36516,1631.7801513671875
1690456639.14911,37205,1631.77978515625
1690456645.4230561,37894,1631.70751953125
1690456651.340221,38583,1631.843994140625
1690456657.2308877,39272,1631.7867431640625
1690456663.150309,39961,1631.9044189453125
1690456668.9833307,40650,1631.79345703125
1690456675.1746528,41339,1631.801025390625
1690456681.1407754,42028,1631.8642578125
1690456687.13,42717,1631.855224609375
1690456693.1542203,43406,1631.9385986328125
1690456699.1479044,44095,1631.94677734375
1690456705.4142175,44784,1631.98291015625
1690456711.2723427,45473,1632.0062255859375
1690456717.1072006,46162,1632.0001220703125
1690456722.9084365,46851,1632.03271484375
1690456728.6880224,47540,1631.9859619140625
1690456734.8612654,48229,1631.9945068359375
1690456740.6519027,48918,1632.0399169921875
1690456746.3993378,49607,1632.0728759765625
1690456752.161474,50296,1632.173828125
1690456757.9438293,50985,1632.252197265625
1690456764.0716872,51674,1632.185302734375
1690456769.8500047,52363,1632.30029296875
1690456775.582243,53052,1632.2239990234375
1690456781.3143375,53741,1632.27490234375
1690456787.0760376,54430,1632.452392578125
1690456793.2690997,55119,1632.4134521484375
1690456799.0990226,55808,1632.4200439453125
1690456804.9627075,56497,1632.450927734375
1690456810.7947917,57186,1632.578369140625
1690456816.7072575,57875,1632.48779296875
1690456822.9539416,58564,1632.645263671875
1690456828.7626135,59253,1632.5849609375
1690456834.5808573,59942,1632.7119140625
1690456840.3913503,60631,1632.7110595703125
1690456846.2014072,61320,1632.7728271484375
1690456852.4192302,62009,1632.8841552734375
1690456858.2447155,62698,1632.7584228515625
1690456864.0760498,63387,1632.8621826171875
1690456869.8498344,64076,1632.920654296875
1690456875.6713512,64765,1632.931884765625
1690456881.8903959,65454,1632.986083984375
1690456887.705344,66143,1632.9776611328125
1690456893.6036897,66832,1633.0828857421875
1690456899.3767889,67521,1633.0367431640625
1690456905.2471828,68210,1633.13232421875
1690456911.5041838,68899,1633.180419921875
1690456917.3686326,69588,1633.1871337890625
1690456923.2061543,70277,1633.2484130859375
1690456929.034521,70966,1633.30126953125
1690456934.8262007,71655,1633.40966796875
1690456940.998917,72344,1633.430908203125
1690456946.8076823,73033,1633.4970703125
1690456952.5970988,73722,1633.5323486328125
1690456958.411209,74411,1633.599853515625
1690456964.2199945,75100,1633.62060546875
1690456970.390668,75789,1633.6956787109375
1690456976.2526438,76478,1633.727783203125
1690456982.0422192,77167,1633.81640625
1690456987.8568301,77856,1633.743408203125
1690456993.6468797,78545,1633.7928466796875
1690456999.8580642,79234,1633.8040771484375
1690457005.6894355,79923,1633.91259765625
1690457011.5351768,80612,1633.937744140625
1690457017.3873482,81301,1634.0086669921875
1690457023.2090893,81990,1634.1114501953125
1690457029.431322,82679,1634.09765625
1690457035.2868738,83368,1634.1058349609375
1690457041.1246812,84057,1634.1031494140625
1690457046.9382024,84746,1634.21337890625
1690457052.7866395,85435,1634.2620849609375
1690457059.0207136,86124,1634.28515625
1690457064.882941,86813,1634.3524169921875
1690457070.6681602,87502,1634.3743896484375
1690457076.388278,88191,1634.512939453125
1690457082.1991146,88880,1634.468017578125
1690457088.3114007,89569,1634.570556640625
1690457094.1017518,90258,1634.5872802734375
1690457099.9395034,90947,1634.617431640625
1690457105.8118532,91636,1634.569091796875
1690457111.7360635,92325,1634.7374267578125
1690457118.0780885,93014,1634.839599609375
1690457124.0377874,93703,1634.7999267578125
1690457129.8399577,94392,1634.8218994140625
1690457135.6780486,95081,1634.90673828125
1690457141.494046,95770,1634.9505615234375
1690457147.7273614,96459,1634.9591064453125
1690457153.5774014,97148,1635.0196533203125
1690457159.4481068,97837,1635.0771484375
1690457165.2385986,98526,1635.16455078125
1690457171.0340302,99215,1635.12646484375
1690457177.2822974,99904,1635.136962890625
1690457183.0936527,100593,1635.29541015625
1690457188.9571264,101282,1635.3536376953125
1690457194.912931,101971,1635.300048828125
1690457200.7290957,102660,1635.288818359375
1690457206.973042,103349,1635.371826171875
1690457212.9059026,104038,1635.4423828125
1690457218.8441796,104727,1635.4892578125
1690457224.7296538,105416,1635.5611572265625
