Wall time,Step,Value
1690453881.5414708,688,1811.239990234375
1690453887.186258,1377,1702.9598388671875
1690453892.8369253,2066,1678.018798828125
1690453899.8523483,2755,1665.0318603515625
1690453907.1229048,3444,1657.81103515625
1690453912.852588,4133,1652.8050537109375
1690453918.632834,4822,1649.6663818359375
1690453924.3440557,5511,1647.4305419921875
1690453930.3792975,6200,1646.0950927734375
1690453938.2672336,6889,1645.102294921875
1690453943.8964472,7578,1644.359130859375
1690453949.6240346,8267,1643.7247314453125
1690453955.3358212,8956,1643.38134765625
1690453960.9892912,9645,1643.0333251953125
1690453968.8718143,10334,1642.80859375
1690453974.540482,11023,1642.4102783203125
1690453980.1068368,11712,1642.3157958984375
1690453985.7664442,12401,1642.3787841796875
1690453991.4446955,13090,1642.0123291015625
1690453999.275595,13779,1641.80859375
1690454005.5604944,14468,1641.7130126953125
1690454011.2458494,15157,1641.5511474609375
1690454016.5479283,15846,1641.59814453125
1690454021.6565115,16535,1641.8212890625
1690454027.280952,17224,1641.66943359375
1690454034.5686488,17913,1641.8433837890625
1690454040.208475,18602,1641.6517333984375
1690454045.603315,19291,1641.6207275390625
1690454051.3547838,19980,1641.5147705078125
1690454057.7294385,20669,1641.5914306640625
1690454064.809701,21358,1641.8343505859375
1690454073.1830363,22047,1641.746826171875
1690454080.3439293,22736,1641.8756103515625
1690454086.77483,23425,1641.9393310546875
1690454093.8452413,24114,1642.0133056640625
1690454101.0089128,24803,1641.9644775390625
1690454107.7867925,25492,1642.0635986328125
1690454114.8497446,26181,1642.1649169921875
1690454121.8650076,26870,1642.2823486328125
1690454128.7513194,27559,1642.376220703125
1690454135.2473476,28248,1642.5933837890625
1690454141.7399633,28937,1642.603515625
1690454148.0636766,29626,1642.6292724609375
1690454154.4504669,30315,1642.720703125
1690454161.3838198,31004,1642.9005126953125
1690454167.7689023,31693,1642.9755859375
1690454174.2983844,32382,1642.9443359375
1690454180.7030005,33071,1643.098388671875
1690454187.0275848,33760,1643.2149658203125
1690454193.8285801,34449,1643.2982177734375
1690454200.1952062,35138,1643.4248046875
1690454206.5199926,35827,1643.536865234375
1690454212.8527997,36516,1643.691650390625
1690454219.1864457,37205,1643.824462890625
1690454225.9998562,37894,1643.9097900390625
1690454232.4338565,38583,1644.0301513671875
1690454238.873016,39272,1644.0731201171875
1690454245.2856476,39961,1644.231201171875
1690454252.2186384,40650,1644.3134765625
1690454259.7384493,41339,1644.45751953125
1690454266.7131178,42028,1644.5087890625
1690454273.8849163,42717,1644.7144775390625
1690454280.6831625,43406,1644.6768798828125
1690454287.5233448,44095,1644.8621826171875
1690454294.6416397,44784,1644.9537353515625
1690454301.3525672,45473,1645.122802734375
1690454308.379829,46162,1645.1907958984375
1690454315.2696972,46851,1645.3199462890625
1690454322.4058502,47540,1645.43017578125
1690454329.766717,48229,1645.6025390625
1690454336.6921525,48918,1645.764404296875
1690454343.53814,49607,1645.85693359375
1690454350.424031,50296,1645.89013671875
1690454357.317079,50985,1646.043701171875
1690454364.6628506,51674,1646.1383056640625
1690454371.5865703,52363,1646.1884765625
1690454378.3790078,53052,1646.424072265625
1690454384.348243,53741,1646.40966796875
1690454390.3681479,54430,1646.6640625
1690454397.302355,55119,1646.7266845703125
1690454404.1968033,55808,1646.847900390625
1690454411.000794,56497,1646.9339599609375
1690454417.9231753,57186,1646.969482421875
1690454424.7565556,57875,1647.1448974609375
1690454432.016227,58564,1647.1888427734375
1690454438.6275702,59253,1647.4173583984375
1690454445.3695982,59942,1647.40869140625
1690454451.9411013,60631,1647.544921875
1690454458.615589,61320,1647.736572265625
1690454465.8286664,62009,1647.8653564453125
1690454472.636843,62698,1647.919189453125
1690454479.4093373,63387,1647.8935546875
1690454486.0438428,64076,1648.1070556640625
1690454494.4885828,64765,1648.2926025390625
1690454504.1975107,65454,1648.4073486328125
1690454512.4096766,66143,1648.348388671875
1690454519.8909433,66832,1648.4580078125
1690454525.7640896,67521,1648.5994873046875
1690454531.6160998,68210,1648.774658203125
1690454539.0084314,68899,1648.808349609375
1690454549.1268983,69588,1648.938232421875
1690454557.570972,70277,1649.067626953125
1690454565.2917166,70966,1649.27197265625
1690454572.1699939,71655,1649.2235107421875
1690454578.4391966,72344,1649.435302734375
1690454584.4236321,73033,1649.414794921875
1690454592.569622,73722,1649.5697021484375
1690454602.1701658,74411,1649.674560546875
1690454610.1300218,75100,1649.7935791015625
1690454618.5491893,75789,1649.9459228515625
1690454624.1032553,76478,1649.94091796875
1690454629.5697007,77167,1650.078369140625
1690454637.3707886,77856,1650.218994140625
1690454646.999515,78545,1650.329833984375
1690454655.239487,79234,1650.35546875
1690454662.2129343,79923,1650.429931640625
1690454667.7112663,80612,1650.5230712890625
1690454673.2412174,81301,1650.6636962890625
1690454680.6869278,81990,1650.82763671875
1690454690.0278184,82679,1650.7857666015625
1690454697.4960933,83368,1650.9337158203125
1690454704.4955015,84057,1651.031982421875
1690454710.350852,84746,1651.18505859375
1690454715.7613525,85435,1651.239013671875
1690454721.8984365,86124,1651.4227294921875
1690454730.335195,86813,1651.4730224609375
1690454739.7006052,87502,1651.5355224609375
1690454746.1108832,88191,1651.6593017578125
1690454752.560047,88880,1651.7528076171875
1690454759.4079201,89569,1651.7666015625
1690454765.8010662,90258,1651.94970703125
1690454772.1839378,90947,1651.9886474609375
1690454778.5386667,91636,1652.13525390625
1690454784.8688958,92325,1652.24072265625
1690454791.6229904,93014,1652.294189453125
1690454797.988789,93703,1652.3232421875
1690454804.3464026,94392,1652.4681396484375
1690454810.7057362,95081,1652.5185546875
1690454817.0657625,95770,1652.6573486328125
1690454823.9154027,96459,1652.6990966796875
1690454830.2734058,97148,1652.832275390625
1690454836.7020144,97837,1652.8912353515625
1690454843.038312,98526,1652.9990234375
1690454849.3598413,99215,1653.0860595703125
1690454856.195926,99904,1653.2420654296875
1690454862.6616108,100593,1653.267822265625
1690454869.0670927,101282,1653.453125
1690454875.4497764,101971,1653.4285888671875
1690454881.835704,102660,1653.5670166015625
1690454888.7780857,103349,1653.677001953125
1690454895.2483053,104038,1653.72509765625
1690454901.6758995,104727,1653.8114013671875
1690454908.142088,105416,1653.98974609375
1690454914.549832,106105,1653.9580078125
1690454921.550103,106794,1654.099365234375
1690454928.0254834,107483,1654.2208251953125
1690454934.515028,108172,1654.2822265625
1690454941.0902135,108861,1654.3785400390625
1690454947.6234891,109550,1654.4808349609375
1690454954.5017645,110239,1654.5421142578125
1690454960.9777656,110928,1654.564208984375
