Wall time,Step,Value
1690391984.2612278,235,1697.7816162109375
1690391986.6228728,471,1532.4888916015625
1690391988.9991915,707,1506.5357666015625
1690391991.3373144,943,1492.0740966796875
1690391993.9029584,1179,1481.966796875
1690391996.2756252,1415,1474.4527587890625
1690391998.631851,1651,1468.7056884765625
1690392000.9662206,1887,1463.99267578125
1690392003.3236284,2123,1460.042724609375
1690392005.8445446,2359,1456.7989501953125
1690392008.1902032,2595,1454.2691650390625
1690392010.5115855,2831,1452.2481689453125
1690392012.834697,3067,1450.2950439453125
1690392015.1663997,3303,1449.0904541015625
1690392017.7258186,3539,1447.451904296875
1690392020.0321136,3775,1446.3311767578125
1690392022.3569286,4011,1445.251708984375
1690392024.6659045,4247,1444.68359375
1690392026.9974625,4483,1443.933837890625
1690392029.4989913,4719,1443.5191650390625
1690392031.8139892,4955,1442.9013671875
1690392034.1157918,5191,1442.2454833984375
1690392036.4340935,5427,1442.1907958984375
1690392038.7488933,5663,1441.8282470703125
1690392041.2872298,5899,1441.625244140625
1690392043.604859,6135,1441.121826171875
1690392045.9115908,6371,1441.0811767578125
1690392048.204397,6607,1440.8271484375
1690392050.5117805,6843,1440.6468505859375
1690392052.9923568,7079,1440.5361328125
1690392055.3039663,7315,1440.312744140625
1690392057.621902,7551,1440.8018798828125
1690392060.0556347,7787,1440.51953125
1690392062.5154347,8023,1440.4556884765625
1690392065.012092,8259,1440.1146240234375
1690392067.3051636,8495,1440.3228759765625
1690392069.6177557,8731,1440.035888671875
1690392071.9330738,8967,1440.131591796875
1690392074.2546258,9203,1439.9620361328125
1690392076.9008377,9439,1440.1298828125
1690392079.3027978,9675,1440.002685546875
1690392081.622495,9911,1440.1318359375
1690392083.975537,10147,1440.1475830078125
1690392086.291781,10383,1439.9005126953125
1690392088.8314457,10619,1439.9521484375
1690392091.148767,10855,1440.1300048828125
1690392093.49158,11091,1440.001220703125
1690392095.809953,11327,1439.9705810546875
1690392098.152463,11563,1439.9188232421875
1690392100.6753182,11799,1440.0960693359375
1690392103.1532226,12035,1439.9666748046875
1690392105.4799685,12271,1439.85009765625
1690392107.8432097,12507,1440.076904296875
1690392110.1731446,12743,1440.229736328125
1690392112.7006693,12979,1440.2080078125
1690392115.011278,13215,1439.8870849609375
1690392117.3267314,13451,1440.27587890625
1690392119.6139295,13687,1440.4344482421875
1690392121.938073,13923,1440.3577880859375
1690392124.4251926,14159,1440.2027587890625
1690392126.7886283,14395,1440.49951171875
1690392129.1341896,14631,1440.513916015625
1690392131.471053,14867,1440.682861328125
