Wall time,Step,Value
1690449964.7324347,235,1688.868408203125
1690449966.4232707,471,1530.8746337890625
1690449968.0247943,707,1504.8626708984375
1690449969.59647,943,1490.5684814453125
1690449971.2846026,1179,1481.1060791015625
1690449972.8498368,1415,1474.102783203125
1690449974.5260823,1651,1468.3824462890625
1690449976.176449,1887,1464.14111328125
1690449977.8897748,2123,1460.333984375
1690449979.6651742,2359,1457.2332763671875
1690449981.2843716,2595,1454.6226806640625
1690449982.887378,2831,1452.46826171875
1690449984.5102344,3067,1450.589111328125
1690449986.1073124,3303,1449.448486328125
1690449987.857508,3539,1447.7716064453125
1690449989.548231,3775,1446.9906005859375
1690449991.1464877,4011,1446.022705078125
1690449992.7957385,4247,1445.31982421875
1690449994.460399,4483,1444.4329833984375
1690449996.2077255,4719,1444.1920166015625
1690449997.892252,4955,1444.11474609375
1690449999.5074673,5191,1443.373779296875
1690450001.1569989,5427,1442.974609375
1690450002.7513418,5663,1442.341552734375
1690450004.5265913,5899,1442.23681640625
1690450006.0947917,6135,1442.34130859375
1690450007.6324122,6371,1442.45703125
1690450009.2192402,6607,1441.9779052734375
1690450010.8434486,6843,1441.8388671875
1690450012.5797703,7079,1441.69970703125
1690450014.1766965,7315,1442.103515625
1690450015.7619174,7551,1441.7972412109375
1690450017.4680474,7787,1441.473388671875
1690450019.0522876,8023,1441.645263671875
1690450020.7300968,8259,1441.5848388671875
1690450022.2691255,8495,1441.4130859375
1690450023.8284724,8731,1441.521728515625
1690450025.392169,8967,1441.3983154296875
1690450026.9305506,9203,1441.439453125
1690450028.596155,9439,1441.7818603515625
1690450030.134984,9675,1441.8165283203125
1690450031.686383,9911,1441.9429931640625
1690450033.3288076,10147,1441.68212890625
1690450034.9344568,10383,1441.705078125
1690450036.6417422,10619,1441.804931640625
1690450038.2117238,10855,1441.7835693359375
1690450039.7699583,11091,1441.833251953125
1690450041.3740685,11327,1442.123779296875
1690450043.0201392,11563,1442.015380859375
1690450044.8150723,11799,1442.1610107421875
1690450046.5100372,12035,1442.1866455078125
1690450048.1948807,12271,1442.2906494140625
1690450049.8373013,12507,1442.229248046875
1690450051.4626985,12743,1442.566162109375
1690450053.151062,12979,1442.618408203125
1690450054.7845354,13215,1442.4857177734375
1690450056.4288871,13451,1442.7535400390625
1690450058.0968451,13687,1442.7144775390625
1690450059.7300413,13923,1442.720947265625
1690450061.4097972,14159,1443.0224609375
1690450063.0275574,14395,1443.22412109375
1690450064.636423,14631,1443.15478515625
1690450066.23189,14867,1443.3349609375
1690450067.8204203,15103,1443.37890625
1690450069.627304,15339,1443.476318359375
1690450071.2602093,15575,1443.6365966796875
1690450072.9596643,15811,1443.72021484375
1690450074.5672624,16047,1443.774658203125
1690450076.1509743,16283,1443.6976318359375
1690450077.974942,16519,1443.8641357421875
1690450079.5861554,16755,1443.91357421875
1690450081.2240524,16991,1444.115478515625
1690450082.8607688,17227,1444.229736328125
1690450084.454857,17463,1444.2547607421875
1690450086.1248462,17699,1444.327880859375
1690450087.6849813,17935,1444.4755859375
1690450089.232446,18171,1444.65869140625
1690450090.85482,18407,1444.727783203125
1690450092.5433052,18643,1444.79052734375
1690450094.3175287,18879,1444.776611328125
1690450095.9941587,19115,1444.85009765625
1690450097.6661417,19351,1445.34423828125
1690450099.2870116,19587,1445.1568603515625
1690450101.0053813,19823,1445.3719482421875
1690450102.7560987,20059,1445.449951171875
1690450104.306525,20295,1445.4818115234375
1690450105.994124,20531,1445.3447265625
1690450107.680398,20767,1445.7056884765625
1690450109.3218367,21003,1445.881103515625
1690450111.0263083,21239,1445.8648681640625
1690450112.6651106,21475,1446.0399169921875
1690450114.298252,21711,1446.083984375
1690450115.8912923,21947,1446.4315185546875
1690450117.5191607,22183,1446.4486083984375
1690450119.1652582,22419,1446.654541015625
1690450120.6827655,22655,1446.5889892578125
1690450122.1785884,22891,1446.634521484375
1690450123.68596,23127,1446.85302734375
1690450125.1768687,23363,1447.1055908203125
1690450126.7842205,23599,1447.2037353515625
1690450128.28029,23835,1447.106201171875
1690450129.7689831,24071,1447.198486328125
1690450131.2634466,24307,1447.4197998046875
1690450132.725598,24543,1447.25390625
1690450134.304867,24779,1447.58447265625
