Wall time,Step,Value
1690392647.867042,228,1088.0882568359375
1690392650.3040485,457,986.6744995117188
1690392652.6770465,686,964.255615234375
1690392655.0761123,915,950.3353271484375
1690392657.6430883,1144,940.42431640625
1690392660.0299425,1373,932.446533203125
1690392662.4063265,1602,926.2415771484375
1690392664.8118165,1831,921.0305786132812
1690392667.1998398,2060,916.2990112304688
1690392669.7807798,2289,912.446044921875
1690392672.1775744,2518,909.1673583984375
1690392674.5686274,2747,906.3466796875
1690392676.984399,2976,903.8211059570312
1690392679.4048223,3205,901.6650390625
1690392681.9640782,3434,899.7901611328125
1690392684.3554914,3663,897.9600219726562
1690392686.7302136,3892,896.58251953125
1690392689.1224854,4121,895.2548828125
1690392691.5087504,4350,894.1099853515625
1690392694.0982363,4579,892.9822387695312
1690392696.5515895,4808,891.9600830078125
1690392698.9756775,5037,891.1076049804688
1690392701.4187,5266,890.423583984375
1690392703.8483558,5495,889.7283935546875
1690392706.4440496,5724,889.1138916015625
1690392708.8348925,5953,888.5267333984375
1690392711.277225,6182,887.8958129882812
1690392713.681276,6411,887.4867553710938
1690392716.104533,6640,887.1205444335938
1690392718.6720207,6869,886.7548217773438
1690392721.0735924,7098,886.4415283203125
1690392723.4608994,7327,886.25732421875
1690392725.8889623,7556,885.7467651367188
1690392728.2674463,7785,885.5917358398438
1690392730.8308928,8014,885.4635009765625
1690392733.2381132,8243,885.213623046875
1690392735.673336,8472,885.1063232421875
1690392738.11436,8701,885.0584716796875
1690392740.5595725,8930,884.7728271484375
1690392743.1665542,9159,884.6705322265625
1690392745.5911574,9388,884.4615478515625
1690392747.9989784,9617,884.5027465820312
1690392750.4217412,9846,884.4976806640625
1690392752.8506868,10075,884.434326171875
1690392755.4285607,10304,884.234619140625
1690392757.8513272,10533,884.5243530273438
1690392760.2950602,10762,884.3081665039062
1690392762.733364,10991,884.2363891601562
1690392765.1308224,11220,884.265380859375
1690392767.7099824,11449,884.2213745117188
1690392770.0907207,11678,884.2337646484375
1690392772.4853897,11907,884.1793823242188
1690392774.8532643,12136,884.3819580078125
1690392777.2479103,12365,884.2353515625
1690392779.8005614,12594,884.4627685546875
1690392782.2247972,12823,884.3123168945312
1690392784.6163158,13052,884.3291015625
1690392787.0387852,13281,884.3804321289062
1690392789.4257035,13510,884.3219604492188
1690392792.0280411,13739,884.4545288085938
1690392794.4144752,13968,884.5414428710938
1690392796.874133,14197,884.6029052734375
1690392799.2854364,14426,884.5594482421875
1690392801.7746942,14655,884.677490234375
1690392804.3335679,14884,884.724853515625
1690392806.7228668,15113,884.7604370117188
1690392809.1042197,15342,884.920166015625
1690392811.4931598,15571,884.9118041992188
1690392813.8826172,15800,884.91552734375
1690392816.459809,16029,884.9771118164062
1690392818.8282633,16258,884.9849853515625
1690392821.203803,16487,885.2157592773438
1690392823.5855653,16716,885.2722778320312
1690392825.9603872,16945,885.1409912109375
1690392828.569588,17174,885.2093505859375
1690392830.971047,17403,885.3788452148438
1690392833.46381,17632,885.5387573242188
1690392835.8783247,17861,885.3788452148438
1690392838.2704465,18090,885.5489501953125
1690392840.8232377,18319,885.6541748046875
1690392843.2086425,18548,885.8942260742188
1690392845.5848348,18777,885.9186401367188
1690392847.9731536,19006,886.0401000976562
1690392850.4998412,19235,886.0718383789062
1690392853.1863859,19464,886.1973266601562
1690392855.6209004,19693,886.3132934570312
1690392858.0446413,19922,886.2771606445312
1690392860.4646378,20151,886.399658203125
1690392862.8871627,20380,886.4488525390625
1690392865.50483,20609,886.614013671875
1690392867.915952,20838,886.5906372070312
1690392870.3280592,21067,886.715576171875
1690392872.7380733,21296,886.614501953125
1690392875.1693723,21525,886.8671264648438
1690392877.766735,21754,886.8759765625
1690392880.1973767,21983,887.0281372070312
1690392882.6151075,22212,887.18359375
1690392885.0595293,22441,887.128662109375
1690392887.4770892,22670,887.2100830078125
1690392890.07062,22899,887.267333984375
1690392892.49091,23128,887.396728515625
1690392894.8945844,23357,887.5314331054688
1690392897.375631,23586,887.6047973632812
1690392899.7871237,23815,887.7318725585938
1690392902.4003043,24044,887.5608520507812
1690392904.8326154,24273,887.7937622070312
1690392907.2613976,24502,888.0021362304688
1690392909.6486409,24731,888.160400390625
1690392912.0651965,24960,888.0731811523438
1690392914.633145,25189,888.0528564453125
1690392917.0675387,25418,888.33251953125
1690392919.5068574,25647,888.2928466796875
1690392921.9273233,25876,888.422607421875
1690392924.3265727,26105,888.5938720703125
1690392926.964891,26334,888.935302734375
1690392929.4370048,26563,888.7911987304688
1690392931.888185,26792,888.9509887695312
1690392934.3512712,27021,888.92138671875
1690392936.7970543,27250,888.8943481445312
1690392939.372049,27479,888.9976806640625
1690392941.7704027,27708,889.1968994140625
1690392944.1364765,27937,889.2762451171875
1690392946.5277236,28166,889.3748779296875
1690392948.9168246,28395,889.6331176757812
1690392951.538273,28624,889.4261474609375
1690392953.9889867,28853,889.5073852539062
1690392956.4082415,29082,889.702392578125
1690392958.8435369,29311,889.6724243164062
1690392961.3503463,29540,889.8451538085938
1690392964.0101335,29769,890.095947265625
1690392966.5036962,29998,889.9166259765625
1690392968.9882205,30227,890.2595825195312
1690392971.46677,30456,890.0914306640625
1690392973.9129825,30685,890.2899780273438
1690392976.5333347,30914,890.2854614257812
1690392978.9872653,31143,890.5248413085938
1690392981.4736876,31372,890.6451416015625
1690392983.9007297,31601,890.6795043945312
1690392986.3607833,31830,890.8997802734375
1690392989.0378513,32059,890.8247680664062
1690392991.5501199,32288,890.9113159179688
1690392994.0330932,32517,891.0233764648438
1690392996.5272584,32746,891.162109375
1690392998.9697483,32975,891.2099609375
1690393001.5806804,33204,891.3902587890625
1690393004.0544398,33433,891.2747802734375
1690393006.52204,33662,891.5370483398438
1690393008.9968972,33891,891.489501953125
1690393011.4457054,34120,891.595947265625
1690393014.1321816,34349,891.9338989257812
1690393016.6078796,34578,891.8319702148438
1690393019.0371702,34807,891.7803955078125
1690393021.5088432,35036,891.74560546875
1690393023.9646692,35265,891.8917846679688
1690393026.5945873,35494,892.042236328125
1690393029.0146995,35723,892.2620239257812
1690393031.4468691,35952,892.483642578125
1690393033.8441904,36181,892.314208984375
1690393036.2675061,36410,892.3848876953125
1690393038.856473,36639,892.5181274414062
1690393041.2830813,36868,892.6683959960938
1690393043.697577,37097,892.8167114257812
1690393046.1306107,37326,892.7626953125
1690393048.5407457,37555,892.8600463867188
1690393051.1376412,37784,892.9652709960938
1690393053.5332425,38013,893.1133422851562
1690393055.9329753,38242,893.0134887695312
1690393058.3247232,38471,893.3402099609375
1690393060.7005038,38700,893.2761840820312
1690393063.2731926,38929,893.4673461914062
1690393065.6579738,39158,893.423828125
1690393068.0573845,39387,893.4864501953125
1690393070.4406338,39616,893.5742797851562
1690393072.8117466,39845,893.7604370117188
1690393075.4763434,40074,893.8182983398438
1690393077.9450383,40303,893.8735961914062
1690393080.4135656,40532,893.90234375
1690393082.8373375,40761,893.9440307617188
1690393085.307749,40990,894.0748291015625
1690393087.9637396,41219,894.1410522460938
1690393090.44556,41448,894.3316040039062
1690393092.888017,41677,894.3358764648438
1690393095.3722868,41906,894.5112915039062
1690393097.8039896,42135,894.5603637695312
1690393100.4339032,42364,894.4619140625
1690393102.8941793,42593,894.568115234375
1690393105.3712122,42822,894.635498046875
1690393107.8464026,43051,894.8076782226562
1690393110.278292,43280,894.8602294921875
1690393112.9232545,43509,895.0032348632812
1690393115.3881402,43738,895.0399780273438
1690393117.8329563,43967,895.0681762695312
